"X","A.1","A.2","A.3","L.1","L.2","L.3","FD_AGG....1","FD_AGG....2","FD_AGG....3","X_diag.1","X_diag.2","X_diag.3","A_water.1","A_water.2","A_water.3","L_water.1","L_water.2","L_water.3","X_water....1","X_water....2","X_water....3","BL_water","FL_water","W_balance.1","W_balance.2","W_balance.3","direct_WF","year"
1,0.062387982958719,0.0285350275049077,0.0026142612458307,1.07756163834459,0.0483731037595047,0.0194638098661655,7343.56673604794,1259.73516250927,1681.19486989903,22183.4620390651,0,0,3.51755197071966,0,0,3.79037906453092,0.170154906459072,0.0684649627524434,48847.5412926519,16708.5389689429,12476.3017725814,3.79551398448365,4.02899893374244,78031.4806128983,0,0,0.222161736332795,"2010"
2,0.212990304098722,0.362449011392629,0.34126025421437,0.361857284304925,1.58875640017863,0.547031005625767,122717.937583309,69818.2672042634,35871.89976533,0,368088.471422782,0,0,0.00707758933780697,0,0.00256107725720432,0.0112445653582769,0.00387166081286676,1406.15812498707,791.341571117081,407.678423583488,0.187034244706192,0.0176773034283479,0,2605.17904071155,0,0.106423465603733,"2010"
3,0.00163067430586161,0.00473027306143688,0.00713963760930317,0.00349378016492711,0.0076487416216919,1.00982915940982,1921.86604245448,784.992128494168,2.28124334175783,0,0,4518.89864109279,0,0,0.736692800925849,0.00257384269551933,0.00563477288884233,0.743933871902215,2140.13013951226,980.634672898274,208.15423359657,0.816270495467526,0.752142487486577,0,0,3329.04009700666,0.0168708193618858,"2010"
1,0.0588755581085668,0.028535451001217,0.00230326931680724,1.07326438184166,0.0475939758052904,0.0187148713577342,7619.66574982321,1059.24774624543,1574.29755121479,22840.8076196516,0,0,3.49218535711307,0,0,3.74803815857844,0.166206985394029,0.065355799715734,49651.1903333101,16527.2487560541,13586.0284722878,3.75272183103151,3.9796009436882,79764.333913984,0,0,0.208135496951018,"2011"
2,0.211095589963184,0.35485412310043,0.338862284379194,0.352828095632183,1.5691478133314,0.535831736435359,126128.905944881,75236.2599533746,46239.6044982692,0,393632.087695006,0,0,0.00653546898631956,0,0.00230589707650633,0.0102551168689785,0.00350191169535905,1317.94289960819,776.804498486734,477.831070124667,0.181561595105863,0.0160629256408439,0,2572.57030115094,0,0.105165165126785,"2011"
3,0.00152092743935873,0.00421985677258415,0.00614757493910421,0.00314054803131315,0.00673537221646604,1.00848936106578,1972.08388198864,801.089188623647,2.38552522203208,0,0,4498.87692576293,0,0,0.757121162567547,0.00237777537656703,0.00509949284285592,0.763548637487122,2167.09326784351,997.855980843438,241.363322681054,0.832406348898215,0.771025905706545,0,0,3406.19492828194,0.0149125264167014,"2011"
1,0.0561759185781406,0.0245794029272425,0.00217036579376772,1.06913553429705,0.0406983092908122,0.0162224946609299,7859.60118998931,1443.50457156631,1651.1185262285,22213.2941329866,0,0,3.7087712963302,0,0,3.96517918148755,0.150940721306933,0.0601655225533266,51229.9615106895,17550.1639724284,13604.1943287218,3.96996951724874,4.17628542534781,82384.0276773608,0,0,0.211019466207182,"2012"
2,0.222360780460769,0.352815564055713,0.339321641873802,0.368971225550937,1.56224962038398,0.533942605265838,132125.157002888,78032.068603907,46753.6413083408,0,406914.047682364,0,0,0.00631995089174971,0,0.00233188002595063,0.00987334088148141,0.003374491044293,1329.69637193406,776.506281868913,465.475234525879,0.16549104649443,0.015579711951725,0,2571.67679851564,0,0.0963327858976691,"2012"
3,0.00161231404854577,0.003735508145144,0.00568730890483659,0.00311982064384514,0.00593516978146398,1.00775210020039,2030.53162935777,801.006534648471,3.07783490739086,0,0,4415.50392861894,0,0,0.788011881416206,0.00245845573523753,0.00467698430601604,0.794120628480044,2249.75682100882,1004.59936503091,225.169420649592,0.857660642077663,0.801256068521297,0,0,3479.46955819166,0.0146755534619084,"2012"
1,0.0544994384599567,0.0231995539906811,0.00191570881226054,1.06673701286678,0.038221432500808,0.01554498769323,8241.47397955802,1359.64653403434,1839.37060778792,22565.2352817171,0,0,4.01599441378763,0,0,4.28400988465349,0.153497059410206,0.0624285837384091,56578.7833627014,18929.2730025043,15113.9922178944,4.28888829692859,4.4999355278021,90621.8588371793,0,0,0.221646483853992,"2013"
