"X","A.1","A.2","A.3","L.1","L.2","L.3","FD_AGG....1","FD_AGG....2","FD_AGG....3","X_diag.1","X_diag.2","X_diag.3","A_water.1","A_water.2","A_water.3","L_water.1","L_water.2","L_water.3","X_water....1","X_water....2","X_water....3","BL_water","FL_water","W_balance.1","W_balance.2","W_balance.3","direct_WF","year"
1,0.0784482053797727,0.0263800005446475,0.00539623805118717,1.09693786129674,0.0415127358431096,0.0156034274546167,736.222996836947,91.3624819743061,1961.84906298929,5314.88474210577,0,0,0.255101523713768,0,0,0.279830519836121,0.0105899621671044,0.00398045811882996,456.50950538385,203.596290182214,695.663825076579,0.289599622592934,0.294400940122056,1355.83519607424,0,0,0.0270875564054667,"2012"
2,0.259013980868286,0.301793251817761,0.196423065063213,0.410228128493988,1.44911936671051,0.318040351741278,23523.9379865829,16810.0448700835,13850.5957215174,0,79784.1070292151,0,0,0.000339705470403556,0,0.000139356739362821,0.000492273776139297,0.000108040047295583,11.7201155663388,8.28821661550584,7.09171715711423,0.0154019387516462,0.000739670562797701,0,27.1030976090872,0,0.00932054962706693,"2012"
3,0.00850298422042351,0.00302823997167833,0.0980573543015726,0.0117186104815113,0.00525672375115946,1.10993285767963,345.243719042027,3.15043041290711,0.325906594438666,0,0,704.610057176397,0,0,0.821748110208314,0.00962974601744925,0.00431970280840245,0.912085228256349,423.597757743591,76.3676565738691,79.0198200280222,0.916173726422474,0.926034677082201,0,0,579.011982918476,0.0820217601282399,"2012"
1,0.0827383113477752,0.0240635629647811,0.00410107157031353,1.10134170658518,0.0380423970346482,0.0128669082566588,722.33610517933,140.379694633308,1895.33231827706,5117.45919156628,0,0,0.272806003086838,0,0,0.30045262900634,0.010378194282865,0.00351016981358414,468.120154183656,215.986802504756,711.965491200749,0.311117255360388,0.314340993102789,1396.0735880112,0,0,0.0304387578184654,"2013"
2,0.265178103190932,0.302262046880642,0.190369096441328,0.422311113255639,1.44916891235882,0.303770369049692,24059.2216936023,16746.5750272077,13731.4049831389,0,80324.9516080877,0,0,0.000471058323004898,0,0.000198933164796533,0.000682643077606579,0.000143093560623127,16.6246739941466,11.4602732576115,9.75072255430703,0.0152784827565592,0.00102466980302624,0,37.8377369999554,0,0.00916356112704715,"2013"
3,0.0101456291096857,0.00321901234790006,0.0861225029765842,0.0137143426849756,0.00552684215366284,1.09545139989611,399.153146431619,2.89017018362693,0.206440727401923,0,0,780.242729215569,0,0,0.763120291628469,0.0104656931892513,0.0042176453960877,0.835961191753537,442.709553648951,74.5163559888481,77.9227399802172,0.839614455127744,0.850644530338876,0,0,595.419059059977,0.0669303014780565,"2013"
1,0.0791902351890444,0.023249794451719,0.00229326858222042,1.09642122215043,0.0365566660148884,0.011518245639829,771.526560951368,136.404221020303,2028.68564785299,5274.54081052031,0,0,0.295475440843136,0,0,0.323965543964669,0.0108015970065044,0.00340335870816801,515.912759658786,228.198585541629,814.285599779836,0.334513700890306,0.338170499679342,1558.4972712336,0,0,0.0314867065079932,"2014"
2,0.259402599980153,0.301611650781083,0.231889923108054,0.411456324835021,1.44728358484589,0.352682391839451,24496.2300220651,17033.0452753426,14540.5015282257,0,82505.8151481638,0,0,0.000544815673372419,0,0.000224167854678332,0.000788502780838661,0.000192146894796606,19.5654373901924,13.462548817047,11.9200322289875,0.0160930435124062,0.0012048175303136,0,44.9504612370872,0,0.00980236964828183,"2014"
3,0.00976481095564156,0.00340169716901651,0.0457304734925132,0.0126861389168783,0.00553322647267498,1.04929704278599,401.46599202829,7.11856257051466,0.209369487368078,0,0,776.028004929782,0,0,0.813800726809249,0.0103239890709587,0.00450294372506308,0.853918696058037,461.08969347322,84.1857536963871,86.5979730922866,0.857514201661002,0.868745628854059,0,0,631.532154436188,0.038019434375448,"2014"
1,0.0791760477149741,0.023187039975187,0.0026330376940133,1.0963033603042,0.0363272402431521,0.0138395108884495,782.8,161,1773,5063.4,0,0,0.365956705631283,0,0,0.401199566109431,0.0132941971640601,0.00506466181228526,649.753213497717,297.271334646687,905.878606736207,0.41200620033826,0.419558425085777,1852.98518329344,0,0,0.037278586999167,"2015"
2,0.258146699845953,0.299063547544347,0.284506651884701,0.408490265466995,1.44208688257546,0.430572336085188,25106.3,17501.4,14634.3,0,83827,0,0,0.000697190819985605,0,0.000284795663137072,0.00100540973615327,0.00030019108005835,25.5792191716347,17.642590478454,15.2184404316378,0.0188446012980518,0.00159039647934869,0,58.4434148669333,0,0.0115003585807922,"2015"
3,0.00900580637516293,0.00311116943228315,0.0446230598669623,0.0116644831484989,0.00503856908967136,1.04823989085015,380.3,2.2,0.1,0,0,721.6,0,0,0.902040701824511,0.0105218385656921,0.00454499439783844,0.945555046822916,481.93907238643,83.3180020664165,85.2625867979415,0.950919899715259,0.960621879786447,0,0,650.912570436567,0.0414137494661748,"2015"
1,0.0781649376033679,0.0231765240066503,0.00264660816269675,1.09470207074018,0.0360521440183954,0.0142248985067406,784.571823715188,132.927455482955,1977.72066849378,5317.89778296022,0,0,0.311759269980144,0,0,0.341283518419712,0.011239590100394,0.0044347439740031,558.268223438241,246.76555570856,852.758121532642,0.349790003195979,0.356957852494109,1657.9039306447,0,0,0.0309250092857416,"2016"
2,0.250150353330326,0.29512981048628,0.296559409388494,0.392933922658176,1.43343122751556,0.446083526962835,25692.0786721083,17917.8214354604,15818.5670933822,0,86505.8898282841,0,0,0.000706352430092378,0,0.000277549831135333,0.00101250763092591,0.000315092183294378,26.354695235392,18.179580734555,16.5653674219681,0.0158424977933263,0.00160514964535563,0,61.103645497512,0,0.00966626916569293,"2016"
3,0.00817546233649075,0.00286067165705215,0.0447137484329294,0.0105452689894073,0.00460104918630325,1.04826421607297,391.986075491843,2.39869092600822,0.0999454552503425,0,0,717.508423242209,0,0,0.780343768698369,0.00822893494513214,0.00359040006200644,0.818006448962024,419.34816901019,67.3881432230299,73.1512750205502,0.822756285119321,0.829825783969162,0,0,559.903227065649,0.035926675052997,"2016"
1,0.0670299526869051,0.0235867022754362,0.000825082508250825,1.08240544545028,0.0362953879192914,0.0116229861932613,779.165746142932,205.901406737004,2013.35942900309,5498.70133360243,0,0,0.280848056796403,0,0,0.303991466020555,0.0101934891678046,0.00326429308654885,508.420073298633,251.936500747685,783.981194034524,0.311533792646765,0.317449248274909,1544.29958444603,0,0,0.0243811463900762,"2017"
2,0.269684640733445,0.295724931217121,0.281518151815182,0.417428984755585,1.43551114628228,0.42310877964463,26542.1490374741,18573.9468103863,16867.3136657555,0,90364.1953507775,0,0,0.000868040692132229,0,0.000362345344843291,0.0012460820889824,0.000367275637929947,33.468899766866,23.2204967732227,21.7476260439797,0.0156105804127277,0.00197570307175563,0,78.4397986762608,0,0.00952399720843809,"2017"
3,0.00546770006811613,0.00271546740991011,0.0440594059405941,0.00737680058331655,0.0042853458203871,1.047358481611,307.333663153169,3.34058329514314,0.101229796822519,0,0,613.452568744468,0,0,0.973319151070036,0.00717998128136661,0.0041710091559407,1.01941406818762,429.60220197201,82.3559080612771,84.9127978278956,1.02304563691209,1.03076505862492,0,0,597.085133432098,0.0433599556172375,"2017"
