"X","A.1","A.2","A.3","L.1","L.2","L.3","FD_AGG....1","FD_AGG....2","FD_AGG....3","X_diag.1","X_diag.2","X_diag.3","A_water.1","A_water.2","A_water.3","L_water.1","L_water.2","L_water.3","X_water....1","X_water....2","X_water....3","BL_water","FL_water","W_balance.1","W_balance.2","W_balance.3","direct_WF","year"
1,0.0461169853091384,0.023431490589772,0.00107056183542302,1.05993393096193,0.0404605630038529,0.0132241536492763,32056.8712864992,7193.1079728383,25995.0894293969,142426.424818793,0,0,2.23970319675127,0,0,2.37393741352058,0.0906196523020856,0.0296181792026141,156183.180134881,83592.9541659921,79217.0462379072,2.37533707634824,2.49417524502528,318992.918968507,0,0,0.103707453454957,"2013"
2,0.273167891564961,0.384800494942076,0.29371492576549,0.471620980797607,1.64680638152336,0.491841751217171,881592.040542486,733936.765952997,193180.700566437,0,3012702.19982759,0,0,0.00149214281347162,0,0.000703725857179585,0.00245727030736928,0.000733898134443997,2193.64180315252,1808.73804327206,492.999609626054,0.0954642765463311,0.00389489429899286,0,4495.38193660288,0,0.0544806324083206,"2013"
3,3.37830169606581e-05,0.00419583791086211,0.0155441006709108,0.00204646338970433,0.00702022257375013,1.0178862615386,6503.09527412586,265.765405311448,12.2545292972464,0,0,19733.476045472,0,0,0.340068126301712,0.000695936970481804,0.00238735393687619,0.346150673749687,4378.03260119114,1849.16765149495,483.52356338341,0.376502751086745,0.349233964657045,0,0,6710.72622420338,0.00812205857100902,"2013"
1,0.043690962554321,0.0227009589597684,0.00109646138472964,1.05744478518344,0.0391308350793125,0.0131745455050903,32246.3226914136,8087.12324106114,24900.865861245,140329.462324445,0,0,2.25794620760984,0,0,2.38765344246174,0.0883553206679397,0.0297474150602019,157826.016549517,83152.4683164904,75877.6055447301,2.38905933112693,2.50575617818988,316856.377271408,0,0,0.099069937804922,"2014"
2,0.287335085482318,0.385168262594958,0.301180834477101,0.49520879052761,1.64810879503864,0.505737073030599,912673.809948055,722473.614830787,185872.070648246,0,3036985.87438795,0,0,0.00142471088806436,0,0.000705529355729866,0.00234807854500617,0.000720529114444493,2170.46463227203,1702.34444043538,454.014898259842,0.0930033676045445,0.00377413701518053,0,4326.82684213817,0,0.0531772854276848,"2014"
3,2.60220146243722e-05,0.00408884293069648,0.0174306254884502,0.002088756131904,0.00685944059891509,1.01984475425179,6500.93546107257,296.925223275558,6.08609220139498,0,0,19566.1017421122,0,0,0.335299702422138,0.000700359309459829,0.00229996839159856,0.341953642617405,4344.72348834756,1768.86503160745,447.020601989046,0.372421586792051,0.344953970318463,0,0,6560.50809169151,0.00874932997890585,"2014"
1,0.041812810297614,0.0232059187934689,0.00114621087096107,1.05657891617281,0.0395854194640844,0.0139632401846999,32766.5,5196,31998.6,143551.7,0,0,2.33192504984745,0,0,2.46386284176404,0.0923102312570173,0.0325612295637383,163420.638893049,73476.0698849349,97853.7781334501,2.46538932728713,2.5887343025848,334751.805178186,0,0,0.0979562839935258,"2015"
2,0.313246725744105,0.37914967797358,0.316200310962764,0.534250490481627,1.63416769652847,0.526202279022118,893617.9,657146,205973.1,0,2911593.4,0,0,0.00141338062975481,0,0.00075509929468374,0.00230970096804438,0.0007437241085027,2093.26374946897,1522.02065643585,499.902776724209,0.096949555406863,0.00380852437123082,0,4115.18971328196,0,0.0560516764177454,"2015"
3,2.71679123270571e-05,0.00413484932339797,0.0168482384967657,0.00227609857407231,0.00687392619546535,1.01935040522854,6093.2,385.1,5.9,0,0,18844.7,0,0,0.338907214822609,0.000771386228400557,0.00232962318180133,0.3454652067643,4212.05720022175,1667.94932939572,506.561232675491,0.378770160436541,0.348566216174502,0,0,6386.60479116761,0.0088297788206447,"2015"
1,0.0444195554218149,0.0252973410291409,0.00119736481995543,1.05973997247434,0.0429841225534898,0.0148648308166886,35580.0067306435,9909.4376488707,27660.8050797856,149685.705714166,0,0,2.16376045494038,0,0,2.29302344495957,0.0930073445715521,0.0321639330905299,163162.554388134,79673.093435715,81047.760729861,2.29453221520155,2.41819472262165,323884.010694155,0,0,0.0965418026654016,"2016"
2,0.294674426507631,0.374734077077988,0.310664855143293,0.500604768330518,1.62332314344278,0.513274628144077,874795.215140589,612237.830538829,189454.313695529,0,2761650.28652498,0,0,0.00141770291072808,0,0.000709708837186531,0.00230138994551108,0.00072767093432273,2043.34655970054,1416.20966040214,455.644880308612,0.0978627362980471,0.00373876971702034,0,3915.1996496195,0,0.0568160364070951,"2016"
3,3.17778198599701e-05,0.0045680690444716,0.0162988231614341,0.0023589210080309,0.00753970648512885,1.01895287909831,6665.37821166497,245.794436980218,7.57186654204462,0,0,19863.1415944487,0,0,0.338740213033674,0.000799061404789998,0.00255400178098392,0.345160315337038,4563.2831930048,1656.41324412647,508.582844201486,0.37805191936189,0.348513378522812,0,0,6728.4448152216,0.0085523079468563,"2016"
1,0.0417075361569577,0.0238153894249951,0.00115893055756022,1.05631508291007,0.0404318295262722,0.014195672451096,34135.3417067404,8481.96581254927,29807.0535093461,145031.036047551,0,0,2.22022113831059,0,0,2.34525307579325,0.0897676025747997,0.0315175320484567,161020.698368382,73786.915431082,87192.8002998976,2.3467447361268,2.46653821041651,322000.971943858,0,0,0.0930359106317954,"2017"
