"","country","year","AGRI","OTHER","WASA","Total","psc_agri","psc_other","psc_wasa"
"1","BRA",2013,142426.424818793,3012702.19982759,19733.476045472,3174862.10069185,4.48606649050225,94.8923797090611,0.621553800436616
"2","BRA",2014,140329.462324445,3036985.87438795,19566.1017421122,3196881.43845451,4.38957355867053,94.9983893007976,0.612037140531905
"3","BRA",2015,143551.7,2911593.4,18844.7,3073989.8,4.66988211867196,94.7170807138007,0.613037167527361
"4","BRA",2016,149685.705714166,2761650.28652498,19863.1415944487,2931199.13383359,5.10663721159054,94.2157172008007,0.677645587608731
"5","BRA",2017,145031.036047551,2793750.22849794,20162.5578301418,2958943.82237563,4.90144608190333,94.4171432850974,0.681410632999243
"6","COL",2010,22183.4620390651,368088.471422782,4518.89864109279,394790.83210294,5.61904184068815,93.2363270600987,1.14463109921319
"7","COL",2011,22840.8076196516,393632.087695006,4498.87692576293,420971.772240421,5.42573377262146,93.5055777255772,1.06868850180139
"8","COL",2012,22213.2941329866,406914.047682364,4415.50392861894,433542.84574397,5.12366755697884,93.8578624182092,1.01847002481193
"9","COL",2013,22565.2352817171,426139.323040374,4583.50652967597,453288.064851767,4.97812252989637,94.0107088810575,1.0111685890461
"10","COL",2014,25188.9756652821,471899.306939834,4940.26143270447,502028.544037821,5.01743894135718,93.9985011896621,0.984059868980735
"11","COL",2015,28323.4,492930.3,5191.6,526445.3,5.38012211335157,93.6337165513682,0.986161335280228
"12","COL",2016,31200.7400992762,500248.723549822,5013.22046806148,536462.68411716,5.81601312132685,93.2494912247375,0.934495653935666
"13","COL",2017,30740.8170221461,498315.019704058,5351.93153133952,534407.768257544,5.7523147768562,93.2462155871784,1.00146963596538
"14","COL",2018,30774.4460791958,509803.425347423,5571.59667085545,546149.468097474,5.63480290228962,93.3450374168332,1.02015968087715
"15","CRI",2012,5314.88474210577,79784.1070292151,704.610057176397,85803.6018284973,6.19424433105858,92.984566299077,0.821189369864402
"16","CRI",2013,5117.45919156628,80324.9516080877,780.242729215569,86222.6535288695,5.93516782669281,93.1599160088397,0.904916164467525
"17","CRI",2014,5274.54081052031,82505.8151481638,776.028004929782,88556.3839636139,5.95613842214641,93.1675520785309,0.876309499322643
"18","CRI",2015,5063.4,83827,721.6,89612,5.65035932687586,93.544391376155,0.805249296969156
"19","CRI",2016,5317.89778296022,86505.8898282841,717.508423242209,92541.2960344865,5.74651319015291,93.4781481729484,0.775338636898733
"20","CRI",2017,5498.70133360243,90364.1953507775,613.452568744468,96476.3492531244,5.69953296965614,93.664609047021,0.635857983322893
