"","country","year","AGRI","OTHER","WASA","Total","total"
"1","BRA",2013,2.37533707634824,0.0954642765463311,0.376502751086745,2.84730410398132,2.84730410398132
"2","BRA",2014,2.38905933112693,0.0930033676045445,0.372421586792051,2.85448428552353,2.85448428552353
"3","BRA",2015,2.46538932728713,0.096949555406863,0.378770160436541,2.94110904313053,2.94110904313053
"4","BRA",2016,2.29453221520155,0.0978627362980471,0.37805191936189,2.77044687086149,2.77044687086149
"5","BRA",2017,2.3467447361268,0.0944431571881178,0.378929459256851,2.82011735257177,2.82011735257177
"6","COL",2010,3.79551398448365,0.187034244706192,0.816270495467526,4.79881872465737,4.79881872465737
"7","COL",2011,3.75272183103151,0.181561595105863,0.832406348898215,4.76668977503559,4.76668977503559
"8","COL",2012,3.96996951724874,0.16549104649443,0.857660642077663,4.99312120582083,4.99312120582083
"9","COL",2013,4.28888829692859,0.168103577301531,0.866636805846191,5.32362868007631,5.32362868007631
"10","COL",2014,4.03090601622231,0.185198361566861,0.8529261536617,5.06903053145087,5.06903053145087
"11","COL",2015,3.76865163234434,0.183500289002671,0.828167233271188,4.7803191546182,4.7803191546182
"12","COL",2016,3.54673058941748,0.180938301147314,0.81842636926263,4.54609525982742,4.54609525982742
"13","COL",2017,3.81569124665597,0.189256255769964,0.771650627846137,4.77659813027207,4.77659813027207
"14","COL",2018,3.86225819036293,0.180761902460331,0.778404125245529,4.82142421806879,4.82142421806879
"15","CRI",2012,0.289599622592934,0.0154019387516462,0.916173726422474,1.22117528776705,1.22117528776705
"16","CRI",2013,0.311117255360388,0.0152784827565592,0.839614455127744,1.16601019324469,1.16601019324469
"17","CRI",2014,0.334513700890306,0.0160930435124062,0.857514201661002,1.20812094606371,1.20812094606371
"18","CRI",2015,0.41200620033826,0.0188446012980518,0.950919899715259,1.38177070135157,1.38177070135157
"19","CRI",2016,0.349790003195979,0.0158424977933263,0.822756285119321,1.18838878610863,1.18838878610863
"20","CRI",2017,0.311533792646765,0.0156105804127277,1.02304563691209,1.35019000997158,1.35019000997158
