"","country","year","AGRI","OTHER","WASA","Total"
"1","BRA",2013,0.103707453454957,0.0544806324083206,0.00812205857100902,0.166310144434287
"2","BRA",2014,0.099069937804922,0.0531772854276848,0.00874932997890585,0.160996553211513
"3","BRA",2015,0.0979562839935258,0.0560516764177454,0.0088297788206447,0.162837739231916
"4","BRA",2016,0.0965418026654016,0.0568160364070951,0.0085523079468563,0.161910147019353
"5","BRA",2017,0.0930359106317954,0.0548534727542558,0.00839354155938287,0.156282924945434
"6","COL",2010,0.222161736332795,0.106423465603733,0.0168708193618858,0.345456021298414
"7","COL",2011,0.208135496951018,0.105165165126785,0.0149125264167014,0.328213188494504
"8","COL",2012,0.211019466207182,0.0963327858976691,0.0146755534619084,0.32202780556676
"9","COL",2013,0.221646483853992,0.0982868516612409,0.0141824572391794,0.334115792754412
"10","COL",2014,0.222347905252977,0.104110199786598,0.0388902686486727,0.365348373688248
"11","COL",2015,0.200726662334706,0.102454880307974,0.0352280151564032,0.338409557799083
"12","COL",2016,0.194854541374904,0.100766852198343,0.0384760093605927,0.33409740293384
"13","COL",2017,0.208593987048602,0.106497292428294,0.0395276886506858,0.354618968127582
"14","COL",2018,0.208984250572873,0.101874540632354,0.0390285236180267,0.349887314823254
"15","CRI",2012,0.0270875564054667,0.00932054962706693,0.0820217601282399,0.118429866160774
"16","CRI",2013,0.0304387578184654,0.00916356112704715,0.0669303014780565,0.106532620423569
"17","CRI",2014,0.0314867065079932,0.00980236964828183,0.038019434375448,0.079308510531723
"18","CRI",2015,0.037278586999167,0.0115003585807922,0.0414137494661748,0.090192695046134
"19","CRI",2016,0.0309250092857416,0.00966626916569293,0.035926675052997,0.0765179535044315
"20","CRI",2017,0.0243811463900762,0.00952399720843809,0.0433599556172375,0.0772650992157518
