"","country","year","AGRI","OTHER","WASA","Total"
"1","BRA",2013,2.49417524502528,0.00389489429899286,0.349233964657045,2.84730410398132
"2","BRA",2014,2.50575617818988,0.00377413701518053,0.344953970318463,2.85448428552352
"3","BRA",2015,2.5887343025848,0.00380852437123082,0.348566216174502,2.94110904313053
"4","BRA",2016,2.41819472262165,0.00373876971702034,0.348513378522812,2.77044687086148
"5","BRA",2017,2.46653821041651,0.00372664303655603,0.34985249911871,2.82011735257178
"6","COL",2010,4.02899893374244,0.0176773034283479,0.752142487486577,4.79881872465737
"7","COL",2011,3.9796009436882,0.0160629256408439,0.771025905706545,4.76668977503559
"8","COL",2012,4.17628542534781,0.015579711951725,0.801256068521297,4.99312120582083
"9","COL",2013,4.4999355278021,0.01609342557223,0.807599726701976,5.32362868007631
"10","COL",2014,4.27926939885442,0.0152930040028151,0.774468128593628,5.06903053145086
"11","COL",2015,4.01463518217081,0.0148325764736209,0.750851395973768,4.7803191546182
"12","COL",2016,3.79196197700849,0.0142674490528047,0.739865833766133,4.54609525982743
"13","COL",2017,4.07306990897077,0.0138963656483716,0.689631855652929,4.77659813027207
"14","COL",2018,4.10682709995775,0.0138844604622795,0.700712657648759,4.82142421806879
"15","CRI",2012,0.294400940122056,0.000739670562797701,0.926034677082201,1.22117528776705
"16","CRI",2013,0.314340993102789,0.00102466980302624,0.850644530338876,1.16601019324469
"17","CRI",2014,0.338170499679342,0.0012048175303136,0.868745628854059,1.20812094606371
"18","CRI",2015,0.419558425085777,0.00159039647934869,0.960621879786447,1.38177070135157
"19","CRI",2016,0.356957852494109,0.00160514964535563,0.829825783969162,1.18838878610863
"20","CRI",2017,0.317449248274909,0.00197570307175563,1.03076505862492,1.35019000997158
